username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,2017-05-06 10:54,0,3,"Bahubali of Journalism is BACK @republic @RealArnabG great news to start with. #ArnabIsBack #republictv #LaluTapeExposed pic.twitter.com/vKSsE0Bjst",,@republic @RealArnabG,#ArnabIsBack #republictv #LaluTapeExposed,"860726825277771776",https://twitter.com/vidhi_179/status/860726825277771776
,2017-05-06 10:53,0,0,". @NitishKumar Bihar main bahaar hai mafia don ke saath . @laluprasadrjd ki Sarkaar hai #May6WithArnab #republictv #ArnabIsBack",,@NitishKumar @laluprasadrjd,#May6WithArnab #republictv #ArnabIsBack,"860726659183370240",https://twitter.com/juswanasay/status/860726659183370240
,2017-05-06 10:53,1,1,"Nitish Kumar after #LaluYadavTapes expose on #RepublicTv #ArnabIsBack #May6WithArnab pic.twitter.com/BpQQdGxXu3",,,#LaluYadavTapes #RepublicTv #ArnabIsBack #May6WithArnab,"860726623603175424",https://twitter.com/UdtaLiberal/status/860726623603175424
,2017-05-06 10:53,2,2,"#May6WithArnab #Republictv @AdityaRajKaul #arnabgoswami #ArnabIsBack Watching News TsunaMi of ARNAB pic.twitter.com/tIwNkHbMnn",,@AdityaRajKaul,#May6WithArnab #Republictv #arnabgoswami #ArnabIsBack,"860726596604493826",https://twitter.com/Im_gks/status/860726596604493826
,2017-05-06 10:52,0,0,"@republic this is great start . #ArnabIsBack",,@republic,#ArnabIsBack,"860726565138812928",https://twitter.com/Girish_Dongre/status/860726565138812928
,2017-05-06 10:52,1,1,"Shahbhudin- remove your SP or else riots on Ram Navmi. Questions lalu why police protection during Ram Navmi. #ArnabIsBack",,,#ArnabIsBack,"860726429142491137",https://twitter.com/TheChakravartin/status/860726429142491137
,2017-05-06 10:52,0,0,"#nitishkumar will be on #NationWantsToKnow tomorrow 8PM. #ArnabIsBack",,,#nitishkumar #NationWantsToKnow #ArnabIsBack,"860726427838296064",https://twitter.com/irajumandala/status/860726427838296064
,2017-05-06 10:52,0,0,"Welcome back Arnab! We've been waiting for you all these months @republic #ArnabIsBack #republictv",,@republic,#ArnabIsBack #republictv,"860726380744421376",https://twitter.com/ThatNelloreGuy/status/860726380744421376
,2017-05-06 10:52,4,7,"#NationWantsToKnow Arnab interviewing Nitish kumar tomorrow 8pm Bet it will b worth watchiNg.. @republic #ArnabIsBack #May6WithArnab",,@republic,#NationWantsToKnow #ArnabIsBack #May6WithArnab,"860726371479203840",https://twitter.com/avi2206/status/860726371479203840
,2017-05-06 10:51,1,1,"कुछ बुद्धिजीवियों की नींद हराम होने वाली है, कुछ की तो हो भी गयी है #May6WithArnab #Republic #ArnabIsBack",,,#May6WithArnab #Republic #ArnabIsBack,"860726309542137856",https://twitter.com/Hrithik_Mania67/status/860726309542137856
,2017-05-06 10:51,0,1,"Nation wants to know tomorrow at 8 with Arnab #republictv #ArnabIsBack",,,#republictv #ArnabIsBack,"860726151395684352",https://twitter.com/vellimulagi/status/860726151395684352
,2017-05-06 10:51,0,0,"Nation wants to know @8 pm. #ArnabIsBack #RepublicLive",,@8,#ArnabIsBack #RepublicLive,"860726106940473344",https://twitter.com/kvgeeta/status/860726106940473344
,2017-05-06 10:51,0,0,"#ArnabIsBack 'The Nation Wants to Know' - The one-on-one show!!! Sch a name.. Nitish, the 1st Bakra!!!",,,#ArnabIsBack,"860726095984906241",https://twitter.com/itsrahul1987/status/860726095984906241
,2017-05-06 10:50,0,2,"You may like #arnab or not but u gotta admit that this man got balls! @republic #May6WithArnab #republictv #ArnabIsBack",,@republic,#arnab #May6WithArnab #republictv #ArnabIsBack,"860726058093617152",https://twitter.com/MurgMakhaniRox/status/860726058093617152
,2017-05-06 10:50,0,2,"The Sith lord is back on May the sixth.. #republictv #ArnabIsBack",,,#republictv #ArnabIsBack,"860726043820384257",https://twitter.com/iisstupidd/status/860726043820384257
,2017-05-06 10:50,0,0,"Re-Public! Public voice is back again and it's loud and clear that "No Compromise" Lalu Gets the first Punch! #RepublicTV #ArnabIsBack",,,#RepublicTV #ArnabIsBack,"860726006298095619",https://twitter.com/shriyansh_raj/status/860726006298095619
,2017-05-06 10:50,0,0,"#NationWantsToKnow is back on @republic #arnabgoswami #ArnabIsBack",,@republic,#NationWantsToKnow #arnabgoswami #ArnabIsBack,"860725998416998400",https://twitter.com/vi_jaykumar/status/860725998416998400
,2017-05-06 10:50,0,2,"#ArnabIsBack Via @Republic http:// fb.me/1oThIqzCi",,@Republic,#ArnabIsBack,"860725947867201536",https://twitter.com/SatyaVijayi/status/860725947867201536
,2017-05-06 10:50,0,0,"Exclusive footage of Arnab's comeback. #May6WithArnab #republictv #arnabgoswami #Republic #ArnabIsBack pic.twitter.com/x65aNRQwX4",,,#May6WithArnab #republictv #arnabgoswami #Republic #ArnabIsBack,"860725924068806656",https://twitter.com/_Mohit_jain_/status/860725924068806656
,2017-05-06 10:50,0,0,"#Republic #May6WithArnab #ArnabIsBack #ArnabGoswami pic.twitter.com/hhujf0C9C0",,,#Republic #May6WithArnab #ArnabIsBack #ArnabGoswami,"860725890988220416",https://twitter.com/apeakshalangoo/status/860725890988220416
,2017-05-06 10:50,0,0,"1 more slap on @TimesNow face...Arnab's debate show is called NATION WANTS TO KNOW @Atheist_Krishna #ArnabIsBack",,@TimesNow @Atheist_Krishna,#ArnabIsBack,"860725878527078401",https://twitter.com/anuragdogra87/status/860725878527078401
,2017-05-06 10:50,0,2,"Republic giving a tribute to Sehwag. First ball boundary. #ArnabIsBack",,,#ArnabIsBack,"860725870268383233",https://twitter.com/MadridistaSays/status/860725870268383233
,2017-05-06 10:50,0,0,"@republic first story is big one. Congratulations your entire team #LaluTapeExlosed #May6WithArnab #ArnabIsBack https:// twitter.com/republic/statu s/860722791137423362 …",,@republic,#LaluTapeExlosed #May6WithArnab #ArnabIsBack,"860725819672494080",https://twitter.com/sharmapiyoosh9/status/860725819672494080
,2017-05-06 10:49,0,1,"#Republic #ArnabIsBack #lalutape #lalutapeExposed #nitishkumar shame on you",,,#Republic #ArnabIsBack #lalutape #lalutapeExposed #nitishkumar,"860725620292161536",https://twitter.com/hotncoolnishant/status/860725620292161536
,2017-05-06 10:48,1,1,"#LaluTapeExposed #ArnabIsBack n with a bang!!!. Now it feels like watching real news. He should be behind bars... Great exposing story arnab",,,#LaluTapeExposed #ArnabIsBack,"860725533646110720",https://twitter.com/LisSaxena/status/860725533646110720
,2017-05-06 10:48,0,0,"What a story @republic #LaluTapeExposed #First_show #ArnabIsBack",,@republic,#LaluTapeExposed #First_show #ArnabIsBack,"860725484619014144",https://twitter.com/Iam_Mithilesh/status/860725484619014144
,2017-05-06 10:48,1,7,"NDTV in honour of Arnab.. #ArnabIsBack #republictv pic.twitter.com/4e8n4QKtpr",,,#ArnabIsBack #republictv,"860725447495213058",https://twitter.com/uPoliticat/status/860725447495213058
,2017-05-06 10:48,0,0,"Welcome back #republictv #RepublicLiveSoon #arnabgoswami #ArnabWithYouSoon #ArnabIsBack pic.twitter.com/cFqMmYEFU2",,,#republictv #RepublicLiveSoon #arnabgoswami #ArnabWithYouSoon #ArnabIsBack,"860725434580946944",https://twitter.com/DeepakMaurya82/status/860725434580946944
,2017-05-06 10:48,0,1,"पहला निशाना लालू शहाबुद्दीन। What a Great Start. #ArnabIsBack #RepublicTV #LaluTapeExposed — watching Republic. pic.twitter.com/W82NFpppHI",,,#ArnabIsBack #RepublicTV #LaluTapeExposed,"860725393984069633",https://twitter.com/s_ushavm2013/status/860725393984069633
,2017-05-06 10:47,0,1,"Morning with Power pact news. punch to laluprasad yadav & @NitishKumar by @republic keep it up sir. #ArnabIsBack #LaluTapeExposed @PMOIndia",,@NitishKumar @republic @PMOIndia,#ArnabIsBack #LaluTapeExposed,"860725231752695808",https://twitter.com/pankaj3290/status/860725231752695808
,2017-05-06 10:47,1,1,"Back with a Bang #ArnabIsBack Great expose by @republic 1st Day 1st Show Blockbuster #LaluTapeExposed #May6WithArnab",,@republic,#ArnabIsBack #LaluTapeExposed #May6WithArnab,"860725214749085696",https://twitter.com/harshlysaid/status/860725214749085696
,2017-05-06 10:47,0,0,"Politicians have thick skin. #ArnabIsBack #LaluTapeExposed",,,#ArnabIsBack #LaluTapeExposed,"860725151222124544",https://twitter.com/irajumandala/status/860725151222124544
